Date,Closing Price (USD),active_addresses,hash_rate,btc_left,total_addresses,difficulty,total_fees,fed_assets,GLD,IYE,SLV,SPY,TLT,UUP,NYFed_inflation,Google_popularity,Pct_of_OI_Dealer_Long_All,Pct_of_OI_Dealer_Short_All,Pct_of_OI_Lev_Money_Long_All,Pct_of_OI_Lev_Money_Short_All,Pct_Change_Dealer_Net_Position,Pct_Change_Lev_Money_Net_Position
2019-04-30,5277.4444688896,5242815,4.778422060674922e+19,3325037.5,505912354,2.72860584985047e+22,575.23744309,3895202.7142857136,121.199997,35.939999,14.02,294.019989,123.650002,26.17,2.8103199410000004,12,0.0,3.2,46.9,62.2,-0.2215189873417721,0.3533487297921478
2019-05-07,5899.5296934602,5166780,4.845043127449379e+19,3311962.5,508562649,2.87856004655158e+22,503.74075944,3891855.2857142864,121.209999,34.630001,13.98,287.929993,124.949997,26.200001,2.67047402,17,0.0,2.8,44.2,61.3,-0.0,0.2815699658703072
2019-05-14,7928.4174163467005,5828067,4.921616672327995e+19,3299037.5,511504453,2.87856004655158e+22,817.0997526299999,3868672.857142857,122.459999,34.619999,13.86,283.399994,125.360001,26.209999,2.67047402,17,0.0,2.8,51.5,55.2,-0.0,-0.7789613848202397
2019-05-21,7961.128743162199,5989817,5.1198710316678455e+19,3285587.5,514429583,2.87961780948158e+22,1297.17740414,3861051.2857142864,120.360001,35.02,13.53,286.51001,125.529999,26.370001000000002,2.67047402,17,0.0,2.6,50.6,53.7,-0.0,-0.13253012048192772
2019-05-28,8719.3314849999,5776029,5.303042410360765e+19,3271662.5,517184305,2.87961780948158e+22,1138.85304031,3852728.4285714286,120.83000200000001,32.959998999999996,13.46,280.149994,128.699997,26.360001,2.67047402,17,0.0,2.4,52.2,53.2,-0.0,-0.625
2019-06-04,7645.572513900699,5701447,5.152466955508559e+19,3259087.5,519896197,3.20390847333309e+22,1275.10103794,3848187.7142857136,125.150002,32.880001,13.89,280.52999900000003,130.929993,26.15,2.608136114,20,0.0,0.0,52.3,60.8,-1.0,5.981481481481483
2019-06-11,7903.6252503798,5403028,5.549048637329299e+19,3246012.5,522457566,3.20390847333309e+22,736.88164046,3849625.0,125.18,33.25,13.81,288.899994,130.580002,26.08,2.608136114,20,0.0,0.0,46.8,68.7,0.0,1.5755968169761274
2019-06-18,9012.4878496522,6034711,5.399407970256513e+19,3233225.0,525372134,3.18231274578496e+22,723.67418724,3844864.4285714286,127.120003,33.41,14.05,292.399994,132.350006,26.360001,2.608136114,20,0.0,0.0,47.6,54.0,0.0,-0.6426364572605562
2019-06-25,11665.409683733502,6193524,5.771040131761626e+19,3219487.5,528331989,3.18231274578496e+22,770.7236305,3829274.0,134.199997,33.709998999999996,14.38,290.76001,132.820007,25.969998999999998,2.608136114,20,0.0,0.0,51.4,53.9,0.0,-0.5590778097982709
2019-07-02,10800.130139950401,6195333,6.112364189414831e+19,3205775.0,531301238,3.40793337814523e+22,1024.94314346,3815143.5714285714,133.41000400000001,33.830002,14.29,296.429993,133.259995,26.139999,2.554579885,19,0.6,0.0,55.7,57.0,100.0,-0.5228758169934641
2019-07-09,12575.904067439,5470904,6.781657274391395e+19,3190887.5,533941161,3.89302700204976e+22,489.45608618000006,3814775.142857143,131.75,34.139998999999996,14.14,297.190002,132.559998,26.35,2.554579885,19,0.9,0.0,53.2,61.4,0.5833333333333334,5.808219178082192
2019-07-16,9490.4105157548,5275559,6.547078706182349e+19,3178200.0,536439246,3.89302700204976e+22,444.16432631999993,3809099.7142857136,132.399994,34.0,14.54,299.7799990000001,130.580002,26.35,2.554579885,19,0.7,0.0,48.2,63.8,-0.3157894736842105,0.6659959758551308
2019-07-23,10027.5326122485,4901660,6.418737939638392e+19,3165700.0,538790519,3.87139201457165e+22,400.91904319,3804103.7142857136,133.690002,34.009997999999996,15.34,300.0299990000001,131.220001,26.459999,2.554579885,19,0.8,0.0,44.8,56.8,0.02564102564102564,-0.286231884057971
2019-07-30,9572.735371803,4836354,6.992367901503653e+19,3152050.0,541134799,3.87139201457165e+22,312.06981442,3782578.2857142864,134.979996,33.860001000000004,15.5,300.72000099999997,131.830002,26.57,2.554579885,19,1.4,0.0,42.8,53.2,0.5,-0.2470389170896785
2019-08-06,11310.187223605,5176894,7.415055943243e+19,3137975.0,543671408,4.28867431337945e+22,280.30015824,3781194.2857142864,138.91000400000001,31.360001,15.38,287.799988,139.979996,26.49,2.411174039,15,0.0,0.0,39.4,48.3,-1.0,-0.06292134831460675
2019-08-13,10869.3791128623,5060020,7.3494747540334576e+19,3125025.0,546059049,4.28867431337945e+22,402.19086126,3785378.7142857136,141.779999,31.549999,15.87,292.549988,142.479996,26.559998999999998,2.411174039,15,0.0,1.1,42.3,52.4,-100.0,0.14628297362110312
